description,price_$,decade,tag,cat
Madman Comics Shirt,150.0,1990,,
Heckyl & Jeckyl Shirt,125.0,1990,,
Live Free Ride Free Flames Long Sleeve Shirt,125.0,1990,,
Pearl Jam Window Pain Shirt,250.0,1990,Pearl Jam,Music
Daytona Bike Week Skull Lady Illusion Shirt,100.0,1990,,
Metallica Kill Em All Shirt,300.0,1990,Metallica,Music
Korn Stripe Sleeves Shirt,135.0,1990,Korn,Music
Nine Inch Nails Downward Spiral Shirt,400.0,1990,Nine Inch Nails,Music
Styx Edge Of The Century Tour Shirt,125.0,1990,,
Paul McCartney New World Tour Shirt,100.0,1990,,
Alice In Chains Tour Shirt,500.0,1990,,
Woodstock Concert Shrit,125.0,1990,Woodstock,Music
Billy Joel River Of Dreams Shirt,80.0,1990,,
Rock & Roll Hall Of Fame And Museum Shirt,50.0,1990,,
Rolling Stones Exile On Main Street All Over Print Shirt,300.0,1990,Rolling Stones,Music
Yo! MTV Raps Shirt,400.0,1990,,
Styx Edge Of The Century Tour Shirt,85.0,1990,,
Tina Turner 24 7 World Tour Shirt,125.0,1990,,
Mickey Mouse Disney Baseball Jersey Shirt,100.0,1990,Disney,Entretainment
Rod Stewart Tour Shirt,125.0,1990,,
Eagles Hell Freezes over World Tour Shirt,100.0,1990,Eagles,Music
Metallica Last Tour Of The Millennium Shirt,250.0,1990,Metallica,Music
Hard Rock Café San Francisco Shirt,50.0,1990,,
Judge Dredd No Smoking Shirt,400.0,1990,,
Pink Floyd One Day In Hell Crew Shirt,150.0,1990,Pink Floyd,Music
Eagles Hell Freezes over World Tour Shirt,125.0,1990,Eagles,Music
Jane's Addiction Ritual De Lo Habitual Shirt,600.0,1990,,
Eagles World Tour Shirt,175.0,1990,Eagles,Music
I'm Bart Simpson Who The Hell Are You Shirt,75.0,1990,,
Daffy Duck Warner Brothers Shirt,100.0,1990,,
The Simpsons Bart Simpson Gangway Man Shirt,125.0,1990,The Simpsons,Entretainment
Puff Daddy & The Family No Way Out Tour Shirt,400.0,1990,,
Marijuana Snack Food Shirt,50.0,1990,,
Did Somebody Say Weed Shirt,80.0,1990,,
A Spliff A Day Keeps The Doctor Away Shirt,60.0,1990,,
Marijuana Leaf Peace Sign All Over Print Shirt,75.0,1990,,
Will Work For Weed Fashion Victim Shirt,75.0,1990,,
Smokin Grooves Tour Shirt,125.0,1990,,
Why Drink And Drive Smoke And Fly Shirt,75.0,1990,,
Cannabis Sativa Hemp Facts Shirt,50.0,1990,,
Loonies Blunt Humour Sweatshirt,100.0,1990,,
Marilyn Manson Shirt,250.0,1990,Marilyn Manson,Music
Aerosmith 9 Lives Tour Shirt,150.0,1990,Aerosmith,Music
Grateful Dead Roller Coaster Tie Dye Shirt,300.0,1990,Grateful Dead,Music
Woodstock Tie Dye Shirt,100.0,1990,Woodstock,Music
Harley Davidson Jacksonville Florida Shirt,75.0,1990,,
Dick Tracy Shirt,100.0,1990,,
Urge Overkill Shirt,125.0,1990,,
Guns N Roses Get In The Ring Tour Shirt,200.0,1990,Guns N Roses,Music
Goldberg WCW Wrestling Shirt,125.0,1990,,
NWA NIggaz4life Shirt,650.0,1990,,
South Park Chef Spring Break Threesome Shirt,125.0,1990,,
Black Crowes High As The Moon Tour Tie Dye Shirt,200.0,1990,,
Cher Tabloid Shirt,125.0,1990,,
Nike Just Do It Shirt,125.0,1990,,
Bell Biv Devoe Shit Is Mental Tour Shirt,200.0,1990,,
Lenny Kravitz Believe Shirt,150.0,1990,,
LA Guns Hollywood Vampires Tour Shirt,200.0,1990,,
Led Zeppelin Hammer Of The Gods Shirt,250.0,1990,Led Zeppelin,Music
Killer Cobra Shelby Shirt,75.0,1990,,
Smashing Pumpkins Mellon Collie Infinite Sadness Shirt,250.0,1990,Smashing Pumpkins,Music
Elvis Presley Viva Las Vegas Shirt,125.0,1990,,
Jimmy Page Robert Plant No Quarter Shirt,175.0,1990,Jimmy Page,Music
Grateful Dead Spring Tour Tie Dye Shirt,250.0,1990,Grateful Dead,Music
Rolling Stones No Security Tour Tie Dye Shirt,150.0,1990,Rolling Stones,Music
Tina Turner What's Love Tour Shirt,175.0,1990,,
Slayer Diabolus In Musica Shirt,150.0,1990,,
Don Henley Tour Shirt,65.0,1990,,
Kiss Reunion Tour Tie Dye Shirt,200.0,1990,Kiss,Music
Guns N Roses Use Your Illusion Tie Dye Shirt,400.0,1990,Guns N Roses,Music
Stone Temple Pilots Shirt,150.0,1990,,
Daytona Beach Motorcycle Classic Shirt,100.0,1990,,
Candlebox Ho'n Your Ass Shirt,200.0,1990,,
Ramones Final Tour Shirt,400.0,1990,Ramones,Music
Slayer UK Tour Shirt,300.0,1990,,
Woodstock Music Festival Concert Shirt,150.0,1990,Woodstock,Music
Nike John Lennon Instant Karma Gonna Get You Shirt,600.0,1990,John Lennon,Music
Jimmy Page Robert Plant Tour Shirt,200.0,1990,Jimmy Page,Music
Tazmanian Devil Warner Brothers Basketball Shirt,75.0,1990,,
"The Vandals Live Fast, Diarrhea Shirt",135.0,1990,,
The Dodge Boys Mopar Or No Car Shirt,125.0,1990,,
The Simpsons Christmas Night Shirt,50.0,1990,The Simpsons,Entretainment
Third Eye Blind Bonfire Tour Crew Shirt,50.0,1990,,
Son Of Sam David Berkowitz Shirt,250.0,1990,,
No Limit Records Stop The Violence Shirt,250.0,1990,,
Snoop Dogg No Limit Records Shirt,600.0,1990,,
Full Blooded No Limit Records Shirt,250.0,1990,,
Mack 10 Based On A True Story Promo Shirt,200.0,1990,,
I Got The Hook Up Master P Promo Shirt,300.0,1990,,
Featuring Ice Cube Promo Shirt,300.0,1990,,
Pink Floyd Division Bell Tour Shirt,150.0,1990,Pink Floyd,Music
Bear All Over Graphic Shirt,125.0,1990,,
Rolling Stones Voodoo Lounge Tour Shirt,200.0,1990,Rolling Stones,Music
Grateful Dead Chicago Dead Tour Shirt,300.0,1990,Grateful Dead,Music
R.E.M. Automatic Tour For The People All Over Print Shirt,600.0,1990,,
Rolling Stones Bridges To Babylon Tour Shirt,200.0,1990,Rolling Stones,Music
Goldberg WCW Wrestling Shirt,150.0,1990,,
Nine Inch Nails Closer Tour Shirt,400.0,1990,Nine Inch Nails,Music
Third Eye Blind Bonfire Crew Tour Shirt,60.0,1990,,
Def Leppard 7 Day Weekend Crew Tour Shirt,65.0,1990,Def Leppard,Music
Alienardo DiVinci Mona Lisa Shirt,250.0,1990,,
Tina Turner Shirt,200.0,1990,,
Frogs Shirt,40.0,1990,,
Metallica Metallihead Living To Win Shirt,175.0,1990,Metallica,Music
Green Bay Packers Shirt,65.0,1990,,
Harley Davidson Las Vegas Nevada Shirt,75.0,1990,,
Meat Loaf Shirt,150.0,1990,,
New Bohemians Shooting Stars At The Moon Shirt,100.0,1990,,
Front Line Assembly Implosion Tour Shirt,175.0,1990,,
Durham Bulls Shirt,50.0,1990,,
Michael Jordan Chicago Bulls Jersey,125.0,1990,,
Robert Plant Manic Nirvana Crew Tour Shirt,75.0,1990,Nirvana,Music
Rolling stones Tie Dye Shirt,175.0,1990,,
Offspring Shirt,200.0,1990,,
Dwight Yoakam This Time Shirt,75.0,1990,,
Jerry Garcia Tie Dye Shirt,200.0,1990,,
Guns N Roses Bad Apple Tour Shirt,250.0,1990,Guns N Roses,Music
Bart Simpson Cub Fan Bartman Shirt,60.0,1990,,
NCAA Baseball Regional Championship Shirt,50.0,1990,,
Queensryche Promised Land Tour Shirt,150.0,1990,,
Garth Brooks No Fences Tour Crew Shirt,50.0,1990,Garth Brooks,Music
Gravity Kills Art As Prostitution Tour Shirt,250.0,1990,,
Kansas City Chiefs NFL 75th Anniversary Shirt,100.0,1990,,
Queensryche Empire Shirt,125.0,1990,,
NWO Wolfpac WCW Shirt,100.0,1990,,
Cher Irrational Enquirer Shirt,150.0,1990,,
Harley Davidson Midnight Rider Shirt,100.0,1990,,
Levi's Sno-Core Tour Shirt,125.0,1990,,
Nelson More Than Ever Shirt,125.0,1990,,
311 Grassroots Shirt,135.0,1990,311,Music
Sting Soul Cages Crew Tour Shirt,50.0,1990,,
If It Takes Forever Chicago Cubs Shirt,75.0,1990,,
The Simpsons Shirt,100.0,1990,The Simpsons,Entretainment
Cher Tabloid Shirt,150.0,1990,,
Aerosmith Nine Lives Shirt,125.0,1990,Aerosmith,Music
Chicago White Sox Shirt,50.0,1990,,
Def Leppard 7 Day Weekend Crew Tour Shirt,75.0,1990,Def Leppard,Music
Levi's Snocore Concert Crew Shirt,100.0,1990,,
JNCO Jeans Shirt,125.0,1990,,
Harley Davidson Wild & Free Shirt,100.0,1990,,
Chicago White Sox Shirt,65.0,1990,,
The Simpsons Maggie Simpson Shirt,100.0,1990,The Simpsons,Entretainment
Marilyn Manson Antichrist Superstar Tour Shirt,500.0,1990,Marilyn Manson,Music
Ozzy Osbourne Hell Shirt,150.0,1990,Ozzy Osbourne,Music
W.A.S.P. Welcome To The Morgue Shirt,150.0,1990,,
The Beatles All Over Print Shirt,125.0,1990,Beatles,Music
Queensryche Empire Shirt,100.0,1990,,
Bob Seger Tour Shirt,75.0,1990,Bob Seger,Music
Metallica Historic Dates Tour Shirt,300.0,1990,Metallica,Music
The Beatles All Together Now Shirt,125.0,1990,Beatles,Music
NWO Run With The Pac WCW Shirt,125.0,1990,,
The Beatles Abbey Road Shirt,150.0,1990,Beatles,Music
Stone Cold Steve Austin University WWF Shirt,125.0,1990,,
Pink Floyd Dark Side Of The Moon Shirt,150.0,1990,Pink Floyd,Music
Jimi Hendrix Experience BBC Sessions Shirt,150.0,1990,Jimi Hendrix,Music
Black Crowes Shake Your Money Maker Tour Shirt,150.0,1990,,
Bob Seger Rock & Roll Never Forgets Tour Shirt,125.0,1990,Bob Seger,Music
Bald Eagle God In America Shirt,50.0,1990,,
Redneck Medical Dickshunary Shirt,80.0,1990,,
NWO New World Order WCW Shirt,125.0,1990,,
Green Bay Packers Jersey Shirt,100.0,1990,,
Think Skateboards Shirt,100.0,1990,,
Aerosmith Get A Grip Shirt,200.0,1990,Aerosmith,Music
Living Colour Tour Shirt,100.0,1990,,
Grateful Dead Ship Of Fools Shirt,300.0,1990,Grateful Dead,Music
Tom Petty Gone Gator Records Shirt,175.0,1990,Tom Petty,Music
Musicfest Benefit Shirt,50.0,1990,,
Beck Two Turntables Shirt,125.0,1990,,
Grateful Dead Summer Tour All Over Print Shirt,350.0,1990,Grateful Dead,Music
Luther Vandross Here & Now World Tour Shirt,200.0,1990,,
Grateful Dead Fare Thee Well Tie Dye Shirt,200.0,1990,Grateful Dead,Music
Led Zeppelin Swan Song Tie Dye Shirt,200.0,1990,Led Zeppelin,Music
Heart Tie Dye Shirt,75.0,1990,,
Tori Amos Plugged Crew Tour Shirt,50.0,1990,,
Winger Local Crew Tour Shirt,75.0,1990,,
Where's The Nun Shirt,200.0,1990,,
MTV Music Television Shirt,250.0,1990,,
PM Dawn Of The Heart Of The Soul And Cross Shirt,400.0,1990,,
Guns N Roses Skull Shirt,400.0,1990,Guns N Roses,Music
Gun N Roses Tour Shirt,300.0,1990,,
Led Zeppelin Crop Circles Shirt,300.0,1990,Led Zeppelin,Music
Lollapalooza Festival Tour Shirt,200.0,1990,Lollapalooza,Music
Deborah Harry Shirt,300.0,1990,,
Guns N Roses All Over Print Shirt,300.0,1990,Guns N Roses,Music
Pink Floyd Division Bell Shirt,450.0,1990,Pink Floyd,Music
Joe Walsh Tour Crew Shirt,40.0,1990,,
Clint Black Put Yourself In My Shoes Tour Shirt,40.0,1990,,
Alonzo Mourning Charlotte Hornets Jersey,125.0,1990,,
NIN David Bowie The Outside Tour Shirt,300.0,1990,David Bowie,Music
Pink Floyd World Tour Shirt,350.0,1990,Pink Floyd,Music
Rolling Stones Voodoo Lounge Tour Shirt,250.0,1990,Rolling Stones,Music
Grateful Dead Summer Tour Tie Dye Shirt,300.0,1990,Grateful Dead,Music
Further Festival Tour Shirt,150.0,1990,,
Alanis Morissette Summer Tour Shirt,300.0,1990,,
Toyota Trucks Lime Rock Grand Prix Shirt,75.0,1990,,
Metallica Sad But True Tour Shirt,300.0,1990,Metallica,Music
World Of Outlaws Equipment Is Everything Shirt,175.0,1990,,
Black Crowes High As The Moon Tour Shirt,125.0,1990,,
Ozzy Osbourne Retirement Sucks Tour Shirt,200.0,1990,Ozzy Osbourne,Music
Van Halen Balance Tour Shirt,175.0,1990,Van Halen,Music
Ernie Irvan Nascar Shirt,150.0,1990,,
Black Crowes High As The Moon Tour Shirt,250.0,1990,,
Rush Counterparts Tour Shirt,150.0,1990,,
Korn Neidermayer's Mind Shirt,200.0,1990,Korn,Music
Scorpions Tour Shirt,200.0,1990,,
Luther Vandross Power Of Love Tour Shirt,500.0,1990,,
Knoxville Nationals Sprint Car Shirt,200.0,1990,,
Madonna Strike A Pose Vogue Shirt,500.0,1990,Madonna,Music
Jimi Hendrix All Over Print Shirt,750.0,1990,Jimi Hendrix,Music
Newport Shirt,75.0,1990,,
Goo Good Dolls Shirt,150.0,1990,,
Kentucky Headhunters Electric Barnyard Tour Shirt,100.0,1990,,
Grateful Dead Madison Square Garden Tie Dye Shirt,450.0,1990,Grateful Dead,Music
Salvador Dali Madman Shirt,250.0,1990,,
Rush Presto Tour Shirt,200.0,1990,,
Metallica Zorlac Tour Shirt,650.0,1990,Metallica,Music
Creed My Own Prison Shirt,85.0,1990,,
Black Sabbath The Last Supper Shirt,150.0,1990,Black Sabbath,Music
Bill The Cat Kisses Are Dreamy Shirt,100.0,1990,Kiss,Music
Warrant Rock Or F#!*ing Die Shirt,75.0,1990,,
Jerry Garcia Hawaiian Tour Tie Dye Shirt,230.0,1990,,
Jimmy Page Robert Plant Walking Into Clarksdale Tour Shirt,150.0,1990,Jimmy Page,Music
INXS Elegantly Wasted Shirt,135.0,1990,,
Red Hot Chili Peppers Californication Shirt,200.0,1990,,
INXS Elegantly Wasted Tour Shirt,150.0,1990,,
Rogers Waters In The Flesh Tour Shirt,100.0,1990,,
Fruit Of The Loom Country Comfort Tour Shirt,50.0,1990,,
The Urge Receiving The Gift Of Flavor Shirt,85.0,1990,,
The Rock WWF Shirt,175.0,1990,,
Misfits 20 Years Of Terror Shirt,450.0,1990,,
Blue Oyster Cult Total Recall Tour Shirt,200.0,1990,,
World Of Outlaws Shirt,125.0,1990,,
Poetic Justice A Street Romance Shirt,500.0,1990,,
Homey The Clown Damon Wayans Shirt,400.0,1990,,
Jim Morrison Stamp Shirt,250.0,1990,,
Metallica Guns N Roses Tour Shirt,450.0,1990,Guns N Roses,Music
Stevie Nicks Shirt,600.0,1990,,
Grateful Dead Where The Wild Things Are Tour Shirt,500.0,1990,Grateful Dead,Music
Goosebumps You Can't Scare Me Shirt,175.0,1990,,
Kiss Destroyer Tie Dye Shirt,150.0,1990,Kiss,Music
Grateful Dead Lithuania Tie Dye Shirt,400.0,1990,Grateful Dead,Music
Rolling Stones No Security Tie Dye Shirt,150.0,1990,Rolling Stones,Music
Tie Dye Shirt,60.0,1990,,
Grateful Dead Ice Cream Liquid Blue Tie Dye Shirt,250.0,1990,Grateful Dead,Music
Grateful Dead All Over Print Shirt,400.0,1990,Grateful Dead,Music
Aerosmith Nine Lives Tour Shirt,150.0,1990,Aerosmith,Music
Aerosmith Nine Lives Tour Shirt,125.0,1990,Aerosmith,Music
Black Sabbath Heaven And Hell Shirt,300.0,1990,Black Sabbath,Music
Led Zeppelin Swan Song Tie Dye Shirt,300.0,1990,Led Zeppelin,Music
Grateful Dead Chinese New Year Tie Dye Concert Shirt,400.0,1990,Grateful Dead,Music
Jimmy Page Robert Plant Zoso Tour Shirt,125.0,1990,Jimmy Page,Music
Grateful Dead Bertha 30 Years Shirt,200.0,1990,Grateful Dead,Music
Sturgis Bike Week Motorcycle Rally Shirt,100.0,1990,,
Metallica Unforgiven Pushead Shirt,300.0,1990,Metallica,Music
Chicago Bulls World Champions Shirt,125.0,1990,,
REO Speedwagon I Can't Stop Rockin Shirt,85.0,1990,,
The Who Quadrophenia Tour Shirt,125.0,1990,The Who,Music
Marilyn Manson God Of Fuck Shirt,600.0,1990,Marilyn Manson,Music
Grateful Dead Highgate Tie Dye Shirt,300.0,1990,Grateful Dead,Music
Jerry Garcia Brand Tour Tie Dye Shirt,200.0,1990,,
Digital Underground The Humpty Dance Shirt,800.0,1990,,
Fleetwood Mac The Dance Tour Shirt,250.0,1990,Fleetwood Mac,Music
Jimmy Page Robert Plant Zoso Tour shirt,125.0,1990,Jimmy Page,Music
Metallica Local Crew Tour Shirt,125.0,1990,Metallica,Music
Rob Zombie Bring Out Your Dead Shirt,125.0,1990,,
Gene Simmons For President Shirt,125.0,1990,,
Jerry Garcia Shirt,175.0,1990,,
Cincinnati Jazz Festival R Kelly Jodeci SWV Concert Shirt,300.0,1990,,
Homer Simpson Atomic Dad Shirt,120.0,1990,,
Bart Simpson Who The Hell Are You Shirt,135.0,1990,,
Metallica All Over Print Shirt,750.0,1990,Metallica,Music
Chicago Bulls NBA Shirt,100.0,1990,,
NWO New World Order Wolfpac Shirt,125.0,1990,,
Rolling Stones Bridges To Babylon Tour Shirt,200.0,1990,Rolling Stones,Music
Funkadelic Shirt,250.0,1990,,
Tazmanian Devil Shirt,100.0,1990,,
The Simpsons Shirt,150.0,1990,The Simpsons,Entretainment
Rolling Stones Voodoo Lounge Tour Shirt,175.0,1990,Rolling Stones,Music
Lester Young Birdland 49 Shirt,200.0,1990,,
Thelonious Monk Sphere Monk Shirt,200.0,1990,,
Superman DC Comics Shirt,75.0,1990,,
Black Sabbath Reunion Tour Shirt,125.0,1990,Black Sabbath,Music
X-Ray Specs Nice Underwear Shirt,125.0,1990,,
Van Halen Balance Tour Shirt,100.0,1990,Van Halen,Music
Decoy Hunter Blow Up Doll Shirt,75.0,1990,,
Homer Simpson Just Donut Stanley Desantis Shirt,175.0,1990,,
Tom Petty Dogs With Wings Tour Shirt,250.0,1990,Tom Petty,Music
Our Lady Peace Shirt,175.0,1990,,
Moody Blues Tour Shirt,125.0,1990,,
Xena Warrior Princess Shirt,150.0,1990,,
Marilyn Manson Antichrist Superstar Local Crew Shirt,100.0,1990,Marilyn Manson,Music
House Of Pain Back From The Dead Shirt,250.0,1990,,
Sturgis Motorcycle Rally Shirt,75.0,1990,,
Public Enemy Fight The Power Shirt,300.0,1990,,
Slayer Symmetria Tie Dye Shirt,300.0,1990,,
Krypton Comics Shirt,100.0,1990,,
Born To Roam Motorcycle Shirt,125.0,1990,,
Ramones Shirt,300.0,1990,Ramones,Music
Boners Skeleton Sex Shirt,125.0,1990,,
Tupac Shakur Stop The Violence Shirt,650.0,1990,,
Jimi Hendrix Experience Shirt,175.0,1990,Jimi Hendrix,Music
Barry Manilow Hitman Tour Crew Shirt,50.0,1990,,
Aerosmith Get A Grip Tour Local Crew Shirt,75.0,1990,Aerosmith,Music
WWF TV Crew Tour Shirt,125.0,1990,,
Guns N Roses Whatever It Takes World Tour Crew Shirt,75.0,1990,Guns N Roses,Music
Undertaker WWF Shirt,300.0,1990,,
Metallica Day On The Green Concert Shirt,350.0,1990,Metallica,Music
Miles Davis Shirt,200.0,1990,,
Grateful Dead Shirt,250.0,1990,Grateful Dead,Music
Ozzy Osbourne No More Tours Local Crew Tour Shirt,100.0,1990,Ozzy Osbourne,Music
Poison Native Tongue Tour Shirt,150.0,1990,Poison,Music
Knebworth Silver Clef Award Winners Shirt,150.0,1990,,
ACDC Razors Edge Local Crew Tour Shirt,75.0,1990,,
Van Halen Crew Tour Shirt,50.0,1990,Van Halen,Music
Indigo Girls Shaming Of The Sun Shirt,175.0,1990,,
Our Lady Peace Shirt,125.0,1990,,
South Park Many Deaths Of Kenny Shirt,125.0,1990,,
Alien Sex Fiend Shirt,200.0,1990,,
Queensryche Empire Tour Shirt,150.0,1990,,
Quicksand Manic Compression Shirt,300.0,1990,,
Dachshund Dog Shirt,60.0,1990,,
Aerosmith Get A Grip World Tour Shirt,125.0,1990,Aerosmith,Music
Scorpions Crazy World Tour Shirt,60.0,1990,,
Eagles Hell Freezes Over Tour Shirt,150.0,1990,Eagles,Music
The Mighty Mighty Bosstones Let's Face It Tour Shirt,175.0,1990,,
Jimmy Page & Robert Plant Zoso Tour Shirt,125.0,1990,Jimmy Page,Music
Limp Bizkit Girl With Gun Shirt,150.0,1990,,
Helmet Amphetamine Records Promo Shirt,300.0,1990,,
Rolling Stones Bridges To Babylon Tour Shirt,135.0,1990,Rolling Stones,Music
Status Quo Shirt,50.0,1990,,
Jimi Hendrix Experience Winterland Shirt,200.0,1990,Jimi Hendrix,Music
Ozzfest Ozzy Osbourne Tour Shirt,175.0,1990,Ozzy Osbourne,Music
MC Hammer Can't Touch This Shirt,150.0,1990,,
Whitesnake David Coverdale Tour Shirt,125.0,1990,,
Betty Boop Shirt,200.0,1990,,
Beach Boys Surf Patrol Shirt,100.0,1990,,
Beach Boys Catch A Wave Shirt,100.0,1990,,
MC Hammer Too Legit Crew Tour Shirt,50.0,1990,,
Queensryche Empire World Tour Shirt,135.0,1990,,
Meow Mix Bar NYC Shirt,175.0,1990,,
South Park Cartman Shirt,100.0,1990,,
The Flash DC Comics Shirt,175.0,1990,,
Alternative Press Shirt,150.0,1990,,
Blues Music Festival Tour Shirt,125.0,1990,,
Hole Maximum Strength PMS Shirt,600.0,1990,,
Tina Turner Cyndi Lauper Tour Shirt,300.0,1990,,
Knoxville Nationals Sprint Car Racing Shirt,100.0,1990,,
Eyes Of The World Human-i-Tees Shirt,85.0,1990,,
Knoxville Nationals Sprint Car Racing Shirt,125.0,1990,,
Jeff Gordon Winning Business Nascar Shirt,150.0,1990,,
David Bowie The Hearts Filthy Lesson Tour Shirt,250.0,1990,David Bowie,Music
The Cramps Smell Of Female Shirt,250.0,1990,,
Damn Yankees Shirt,100.0,1990,,
Jeff Gordon Nascar Shirt,125.0,1990,,
Harley Davidson Sturgis Shirt,150.0,1990,,
Meat Loaf Everything Louder Tour Shirt,175.0,1990,,
The Scream Edvard Munch Mondays Shirt,200.0,1990,,
Carlos Santana Heaven Smiles All Over Print Shirt,500.0,1990,,
The Cars Bill Graham's Crackers Crew Shirt,150.0,1990,,
Eagles Hell Freezes Over Tour Shirt,125.0,1990,Eagles,Music
David Robinson Team USA Jersey,125.0,1990,,
New York Rock & Soul Revue Tour Shirt,100.0,1990,,
WOMAD World Of Music Shirt,100.0,1990,,
Primus Suck This Shirt,200.0,1990,,
The Tick Shirt,175.0,1990,,
Fishheads Trigger Fish Shirt,50.0,1990,,
Homey The Clown In Living Color Shirt,175.0,1990,,
Michael Bolton Time Love Tenderness Tour Shirt,125.0,1990,,
Xena Warrior Princess Shirt,135.0,1990,,
University of Kentucky Wildcats Shirt,75.0,1990,,
Los Angeles Rams Starter Shirt,40.0,1990,,
The Verve Shirt,500.0,1990,,
Marilyn Monroe Shirt,125.0,1990,,
Michael Bolton Timeless Summer Tour Shirt,100.0,1990,,
Bill Graham BGP Dogs Vs Oaktown Slackers Shirt,150.0,1990,,
Ricky Martin Livin La Vida Loca Shirt,125.0,1990,,
Alien Shirt,125.0,1990,,
Travis Tritt Tour Shirt,125.0,1990,,
Snoopy Flying Ace Shirt,100.0,1990,,
NWO New World Order Wrestling Shirt,125.0,1990,,
Jim Morrison Shirt,125.0,1990,,
Grateful Dead Summer Tour Tie Dye Shirt,250.0,1990,Grateful Dead,Music
Harold Miner Miami Heat NBA Jersey,125.0,1990,,
L7 Hungry For Stink Shirt,400.0,1990,,
The Brady Bunch Alice Anyone For Flapjacks Shirt,175.0,1990,,
Lollapalooza Red Hot Chili Peppers Concert Shirt,400.0,1990,Lollapalooza,Music
Lollapalooza Summer Of Noise Concert Shirt,175.0,1990,Lollapalooza,Music
Marvin The Martian Halloween Shirt,125.0,1990,,
Dr Seuss Cat In The Hat Grinch Sam I Am Shirt,125.0,1990,,
Genesis Day On The Green Crew Staff Shirt,300.0,1990,,
Garth Brooks Shirt,75.0,1990,Garth Brooks,Music
South Park Oh My God They Killed Kenny Shirt,125.0,1990,,
Korn Spanking Shirt,175.0,1990,Korn,Music
Elmo Sesame Street Shirt,125.0,1990,,
Popeye Yam What I Yam Uconn Shirt,100.0,1990,,
Nike Sweatshirt,75.0,1990,,
Randy Travis Heroes & Friends Shirt,75.0,1990,,
Beavis And Butthead Stuff That Sucks Shirt,150.0,1990,,
Guns N Roses Tour Shirt,300.0,1990,Guns N Roses,Music
Woodstock Music Festival Shirt,125.0,1990,Woodstock,Music
Lollapalooza Festival Tour Shirt,250.0,1990,Lollapalooza,Music
Van Halen Live World Tour Shirt,150.0,1990,Van Halen,Music
The Three Stooges All Over Print Shirt,150.0,1990,,
Ben & Jerry's Wavy Gravy Tie Dye Shirt,150.0,1990,,
Nashville Predators NHL Hockey Jersey,150.0,1990,,
Cat In The Hat Dr Seuss Shirt,100.0,1990,,
Rainforest Liquid Blue Tie Dye Shirt,125.0,1990,,
Larry Johnson Charlotte Hornets NBA Basketball Jersey,100.0,1990,,
Jalen Rose Denver Nuggets NBA Basketball Jersey,100.0,1990,,
Garth Brooks Fresh Horses Tour Shirt,100.0,1990,Garth Brooks,Music
Kiss Alive Worldwide Local Crew Concert Shirt,75.0,1990,Kiss,Music
Flintstones McDonald's Shirt,100.0,1990,,
Boothill Saloon Bike Week Shirt,100.0,1990,,
Garth Brooks Thing Called Life Shirt,125.0,1990,Garth Brooks,Music
Charles Manson Is It Hot In Here Shirt,200.0,1990,,
Jimmy Page Robert Plant Zoso Tour Tie Dye Shirt,150.0,1990,Jimmy Page,Music
VH1 Rock Across America Crew Shirt,40.0,1990,,
Eagles Hotel California Hell Freezes Over Tour Shirt,175.0,1990,Eagles,Music
Garbage Shirt,250.0,1990,,
Bush 6teen Stone Local Crew Shirt,40.0,1990,,
Metallica Don't Tread On Me Shirt,200.0,1990,Metallica,Music
Grateful Dead Steal Your Base Shirt,300.0,1990,Grateful Dead,Music
Beavis & Butthead Burger World Shirt,125.0,1990,,
Lou Reed Hooky Wooky World Tour Shirt,200.0,1990,,
Blind Melon Shirt,400.0,1990,,
Don't Worry Be Happy Shirt,75.0,1990,,
Suicidal Tendencies European Tour Shirt,250.0,1990,,
Toby Keith Blue Moon Shirt,100.0,1990,,
Pokemon Gotta Catch 'em All Shirt,150.0,1990,,
NWO New World Order Wolfpac Shirt,125.0,1990,,
Marilyn Manson Beware Of God Shirt,250.0,1990,Marilyn Manson,Music
Led Zeppelin Swan Song Shirt,125.0,1990,Led Zeppelin,Music
They Were Here First Human-I-Tees Shirt,100.0,1990,,
Grateful Dead Year Of The Rooster Concert Shirt,300.0,1990,Grateful Dead,Music
Michael Jordan Chicago Bulls NBA Basketball Jersey,175.0,1990,,
Rolling Stones Tie Dye Shirt,200.0,1990,Rolling Stones,Music
The Doors Jim Morrison Tie Dye Shirt,250.0,1990,,
Bob Seger & The Silver Bullet Band Tour Shirt,125.0,1990,Bob Seger,Music
Lou Reed Hooky Wooky World Tour Shirt,250.0,1990,,
D-Generation X Two Words Suck It Shirt,150.0,1990,,
Elton John Tour Shirt,100.0,1990,Elton John,Music
Conway Twitty Crazy In Love Shirt,125.0,1990,,
Cherry Poppin Daddies Shirt,75.0,1990,,
Michael Jordan Chicago Bulls 45 NBA Champion Jersey,175.0,1990,,
Bell UH-1 Huey Helicopter Shirt,85.0,1990,,
Rockfest Kansas City 98.9 The Rock Concert Shirt,75.0,1990,,
Sony Playstation Promo Shirt,200.0,1990,,
Addams Family Movie Promo Shirt,300.0,1990,,
MTV Music Television Shirt,250.0,1990,,
Aerosmith Get A Grip Tour Shirt,200.0,1990,Aerosmith,Music
Headless Horseman Shirt,50.0,1990,,
Tiger Liquid Blue Shirt,100.0,1990,,
Paul Simon Born At The Right Time Tour Jacket,300.0,1990,,
Yo! Hot 102 Radio Shirt,50.0,1990,,
