description,price_$,decade,tag,cat
Kiss Gene Simmons Shirt,250.0,1970,Kiss,Music
Willie Nelson Shirt,250.0,1970,,
Buzzcocks Tour Sweatshirt,300.0,1970,,
Fleetwood Mac Rugby Promo Shirt,500.0,1970,Fleetwood Mac,Music
Stiff Records Be Stiff Tour Shirt,200.0,1970,,
Sunshine Festival Diamond Head Crater Shirt,400.0,1970,,
Bill Graham Snack Charity Concert Shirt,200.0,1970,,
John Belushi Samurai Deli SNL Shirt,150.0,1970,,
Soul Explosion Atlantic Records Promo Shirt,300.0,1970,,
The Who Shirt,300.0,1970,The Who,Music
Heart Whalen Rigging Crew Tour Shirt,150.0,1970,,
Grateful Dead Bertha Shirt,400.0,1970,Grateful Dead,Music
New Barbarians Gimme Some Neck Shirt,250.0,1970,,
Wings Over America Capitol Records Promo Shirt,300.0,1970,,
Paul McCartney Wings London Town Promo Shirt,150.0,1970,,
Journey Cobo Arena Concert Shirt,125.0,1970,Journey,Music
Queen News of The World Shirt,400.0,1970,,
The Beatles Shirt,100.0,1970,Beatles,Music
Lou Reed Street Hassle Tour Shirt,1.0,1970,,
Superman DC Comics Shirt,175.0,1970,,
Zombie Records Shirt,100.0,1970,,
Lynyrd Skynyrd Shirt,500.0,1970,,
Heart Bunny & Butterfly FM Productions Shirt,200.0,1970,,
Queen Jazz Shirt,400.0,1970,,
California Jam 2 Concert Shirt,175.0,1970,,
Star Wars Marin Unit Empire Lays Back Crew Shirt,400.0,1970,Star Wars,Entretainment
Frank Zappa And The Mothers Promo Shirt,500.0,1970,,
Car Wash MCA Records Movie Soundtrack Shirt,125.0,1970,,
Muhammad Ali The Greatest Shirt,250.0,1970,,
Grateful Dead Mars Hotel Shirt,600.0,1970,Grateful Dead,Music
Queen A Night At The Opera Australian Tour Shirt,500.0,1970,,
Lisztomania Movie Promo Shirt,100.0,1970,,
Garden State Summer Music Fair Shirt,500.0,1970,,
Bruce Springsteen Wild And Innocent Jacket,750.0,1970,Bruce Springsteen,Music
Eric Clapton No Reason To Cry Shirt,100.0,1970,,
Sub-Mariner Marvel Comics Shirt,125.0,1970,,
Lynyrd Skynyrd Concert Taping Shirt,750.0,1970,,
Jack Bruce Band How's Tricks RSO Records Promo Shirt,75.0,1970,,
Scorpions Animal Magnetism Shirt,300.0,1970,,
Ritchie Blackmore's Rainbow Fan Club UK Shirt,150.0,1970,,
Styx Grand Decathalon Tour Shirt,100.0,1970,,
Starz Capitol Records Promo Long Sleeve Shirt,100.0,1970,,
Grateful Dead Winterland Concert Shirt,300.0,1970,Grateful Dead,Music
Yes Yesongs Shirt,200.0,1970,,
Wings Over America Capitol Records Promo Shirt,250.0,1970,,
Bob Seger March Of Dimes Shirt,250.0,1970,Bob Seger,Music
Nazarath No Mean City Shirt,125.0,1970,,
Boston Shirt,125.0,1970,,
Sex Pistols Shirt,750.0,1970,,
